abandonat|abandoned
abstraet|abstracted
abuset|abused
accentuat|accented
acordat|accorded
dolet|ached
actet|acted
adparlat|addressed
avansat|advanced
pledat|advocated
adjuntet|affixed
afrontat|affronted
agregat|aggregated
auxiliat|aided
apuntat|aimed
aerat|aired
alarmat|alarmed
expassuat|alighted
expassuat|alit
alliat|allied
alternat|alternated
amblat|ambled
inboscat|ambushed
equivalet|amounted
ancrat|anchored
colerat|angered
croc-piscat|angled
adjuntet|annexed
respondet|answered
imitachat|aped
apellat|appealed
apropriat|appropriated
armat|armed
arangeat|arrayed
impedit|arrested
aspirat|aspirated
assaltat|assaulted
essayat|assayed
assentit|assented
atrofiat|atrophied
atribuet|attributed
auctionat|auctioned
babillat|babbled
baccat|backed
molestat|badgered
lurat|baited
balansat|balanced
inballat|baled
balotat|balloted
bannit|banned
bandageat|bandaged
exchangeat|bandied
inbankat|banked
barrat|barred
decoltat|bared
merc(ach)at|bargained
aboyat|barked
barricadat|barricaded
trocat|bartered
battet|bashed
grassijat|battened
battet|battered
aboyat|bayed
strandat|beached
radiat|beamed
parturit|bore
parturit|bore
bastonat|beat
inbedat|bedded
apovrat|beggared
ructat|belched
flexet|bent
avantageat|benefited
superat|bested
pariat|bet
ameliorat|bettered
comandat|bade
comandat|bid
undeat|billowed
bivacat|bivouacked
cirat|blacked
chantageat|blackmailed
blamat|blamed
fracassat|blasted
brilliat|blazed
belat|bleated
defigurat|blemished
mixtet|blended
frustrat|blighted
aciecat|blinded
oculettat|blinked
tumet|blistered
blocat|blocked
floreat|bloomed
florescet|blossomed
maculat|blotted
anhelat|blew
plorachat|blubbered
bastonat|bludgeoned
bluffat|bluffed
errat|blundered
blasat|blunted
nebulat|blurred
rubijat|blushed
bru-parlat|blustered
abordat|boarded
fanfaronat|boasted
saltettat|bobbed
bollit|boiled
stuffat|bolstered
boltat|bolted
desossat|boned
resonat|boomed
trincachat|boozed
enoyat|bored
incomodat|bothered
inbotellat|bottled
bornat|bounded
genuat|bowed
boxat|boxed
boycottat|boycotted
infortiat|braced
cuplat|bracketed
fanfaronat|bragged
pasmentat|braided
frenat|braked
brul-marcat|branded
bravat|braved
rixat|brawled
aparit|broke
dejuneat|breakfasted
cultivat|bred
transportat|bridged
herisset|bristled
apertet|broached
difuset|broadcast
difuset|broadcasted
covat|brooded
tolerat|brooked
pinselat|brushed
brodulat|bubbled
fiblat|buckled
burgeonat|budded
constructet|built
prominet|bulged
bosillat|bungled
burgeonat|burgeoned
brunit|burnished
excavat|burrowed
butonat|buttoned
