*** Unesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/1/)
bon	good
cité	city
dir	to say
e	and
es	is (definition)
esser	to be (definition)
esque	is that
grand	big
il	he
in	in
inteligent	intelligent
it	it
jurnale	journal
li	the
mann	man
may	May
ne	not
no	no
pensar	to think
pri	about
que	that (conjunction)
quo	what
salute	salute
scrir	to write
star	to be (location)
tren	train
u	where
un	a/one
vider	to see
yes	yes
*** Duesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/2/)
a	to
amar	to love
de	of
deman	tomorrow
die	day
hodíe	today
ma	but
mult	many
nov	new
nu	now
old	old
va	will
viage	journey
viagear	to travel
yer	yesterday
yo	I
*** Triesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/3/)
bell	beautiful
bifstec	beefsteak
bir	beer
deci	ten
decidu	twelve
deciquar	fourteen
deciquin	fifteen
decitri	thirteen
deciun	eleven
departer	to leave
desbell	ugly
du	two
far	to do
felici	happy
haver	to have
hay	there is
hora	o'clock
idé	idea
manjar	to eat
mi	my
minus	minus
minute	minute
moment	moment
o	or
ott	eight
plu	more
por	for
problema	problem
quam!	how!
quel	which (which one/thing)
saver	to know
sett	seven
tard	late
témpor	time
tre	very
tri	three
trincar	to drink
ye	at
*** Quaresim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/4/)
al	to the
altri	other
amíco	friend
anc	also
Anglia	England
anglés	english
benevenit	welcome
borgo	town
carte	map
castelle	castle
ci	here
comensar	to begin
comto	earl
con	with
del	of the
diferent	different
dormir	to sleep
finir	to finish
german	german
hotel	hotel
ili	they
interessant	interesting
land	land
leer	to read
lettre	letter
libre	book
loc	place
lontan	far
manjage	food
me	me
minu	less
muséo	museum
nam	because
noi	we
nómine	name
ost	east
parlar	to speak
person	person
ples	please
poc	little
poy	then
quam	than
qui	who
Rumania	Romania
strade	street
su	his/her/its
venir	to come
vor	your (single formal or plural)
west	west
*** Quinesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/5/)
chambre	room
cose	thing
cruce	cross
crucifixe	crucifix
dar	to give
dever	must
ear	to go
fémina	woman
hotelero	keeper
le	him
mal	bad
manu	hand
mersí	thank you
omnicos	everything
plorar	to cry
pos	after
pro quo	why
questionar	ask
santo	saint
sol	alone
strangi	strange
te	you (singal informal, object)
tui	your (single informal)
tu	you (single informal, subject)
vi	here is
vu	you (single formal or plural, subject)
*** Sixesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/6/)
ah!	ah!
alt	high
árbor	tree
atender	to wait
avan	in front of
bass	low
caler	to feel hot
calid	hot
circum	around
coche	coach
cochero	driver
comprender	to understand
continuar	to continue
denov	again
de témpor a témpor	from time to time
forest	forest
friger	to feel cold
frigid	cold
lor	their
matine	morning
micri	small
midí	noon
monte	mountain
mover	to move
pire	pear
piriero	pear tree
pom	apple
pomiero	apple tree
pos-midí	afternoon
pro que	because
prun	plum
